"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"2271","gdppc.gap.ln_l",9.99146454710798,-0.0885644606358098,0.0301499187957361,-2.93746929256522,0.00330902940669106,-0.147657215612259,-0.029471705659359,"optimal"
"2272","gdppc.gap.ln_l",10.191464547108,-0.0918035583904684,0.0282424824121615,-3.2505484840432,0.0011518262665766,-0.14715780675231,-0.0364493100286249,"optimal"
"2273","gdppc.gap.ln_l",10.391464547108,-0.0922806580356879,0.0248010382260964,-3.72083850661491,0.000198562390267836,-0.140889799738039,-0.0436715163333389,"optimal"
"2274","gdppc.gap.ln_l",10.591464547108,-0.0900936686007491,0.020244847034185,-4.45020248602614,8.57893646751841e-06,-0.129772839660275,-0.0504144975412245,"optimal"
"2275","gdppc.gap.ln_l",10.791464547108,-0.085513677285544,0.015365303565805,-5.56537506202298,2.61589151311979e-08,-0.115629118886048,-0.0553982356850426,"optimal"
"2276","gdppc.gap.ln_l",10.991464547108,-0.0789655789535217,0.0115358865415415,-6.84521113042865,7.63631633699127e-12,-0.101575501104683,-0.0563556568023601,"optimal"
"2277","gdppc.gap.ln_l",11.191464547108,-0.0709843907157689,0.0105448747379193,-6.7316485477546,1.67751447000537e-11,-0.0916519654235776,-0.0503168160079614,"optimal"
"2278","gdppc.gap.ln_l",11.391464547108,-0.0621550886262451,0.0123258662383637,-5.04265480610117,4.59117051340696e-07,-0.0863133425316966,-0.0379968347207943,"optimal"
"2279","gdppc.gap.ln_l",11.591464547108,-0.053048159492044,0.0148356454478232,-3.57572305691814,0.00034926123586336,-0.0821254902571828,-0.0239708287269047,"optimal"
"2280","gdppc.gap.ln_l",11.791464547108,-0.0441635165509969,0.0167508895054997,-2.63648784361554,0.00837692016502802,-0.0769946566907869,-0.0113323764112083,"optimal"
"2281","gdppc.gap.ln_l",5.99146454710798,0.0796285390399441,0.0139918626704344,5.69106064828691,1.26252650864539e-08,0.0522049921292627,0.107052085950627,"nearest"
"2282","gdppc.gap.ln_l",6.19146454710798,0.0873773634378131,0.0129706500646627,6.7365446606153,1.62197455090225e-11,0.0619553564550007,0.112799370420623,"nearest"
"2283","gdppc.gap.ln_l",6.39146454710798,0.093124175229258,0.0165278314114224,5.63438559549319,1.75683540441783e-08,0.0607302209203193,0.125518129538195,"nearest"
"2284","gdppc.gap.ln_l",6.59146454710798,0.096328834359008,0.022409354533744,4.29859923961469,1.71880938418786e-05,0.0524073065560793,0.140250362161935,"nearest"
"2285","gdppc.gap.ln_l",6.79146454710798,0.0966222278344583,0.0282698756340542,3.41785118142034,0.000631176083008645,0.0412142897442861,0.152030165924631,"nearest"
"2286","gdppc.gap.ln_l",6.99146454710798,0.0938395208384063,0.0329087288588475,2.85150852349551,0.00435123196768996,0.0293395974980725,0.158339444178742,"nearest"
"2287","gdppc.gap.ln_l",7.19146454710798,0.0880201137545841,0.0357534170533422,2.46186577420733,0.0138216382401796,0.0179447040057921,0.158095523503374,"nearest"
"2288","gdppc.gap.ln_l",7.39146454710798,0.0793791451533285,0.0366345904797495,2.16678128822559,0.0302515348800828,0.00757666722464449,0.15118162308201,"nearest"
"2289","gdppc.gap.ln_l",7.59146454710798,0.0682617423580841,0.035658948580738,1.91429487057163,0.0555824894820704,-0.00162851258672791,0.138151997302896,"nearest"
"2290","gdppc.gap.ln_l",7.79146454710798,0.0550930837169484,0.0331440128038063,1.6622333584973,0.0964659938812008,-0.00986798768164674,0.120054155115543,"nearest"
"2291","gdppc.gap.ln_l",7.99146454710798,0.0403351582213852,0.0295590943623243,1.36456001415239,0.172391379583233,-0.0175996021443915,0.0982699185871618,"nearest"
"2292","gdppc.gap.ln_l",8.19146454710798,0.024456694736213,0.0255184181829064,0.958393837773042,0.337864201390772,-0.0255584858447158,0.0744718753171413,"nearest"
"2293","gdppc.gap.ln_l",8.39146454710798,0.00791802082880148,0.021834631982001,0.362635872925569,0.716876909098327,-0.0348770714716068,0.0507131131292098,"nearest"
"2294","gdppc.gap.ln_l",8.59146454710798,-0.00883115273817768,0.0195190955247024,-0.452436575608815,0.650954502740541,-0.0470878769773912,0.029425571501036,"nearest"
"2295","gdppc.gap.ln_l",8.79146454710798,-0.0253454449301356,0.0194008547039527,-1.30640867718945,0.191413616577413,-0.0633704214191772,0.0126795315589063,"nearest"
"2296","gdppc.gap.ln_l",8.99146454710798,-0.0411746736198692,0.0213575410544867,-1.92787519475325,0.0538706517939674,-0.0830346848849993,0.000685337645259847,"nearest"
"2297","gdppc.gap.ln_l",9.19146454710798,-0.0558578938775888,0.0243904404357714,-2.29015519521602,0.0220123216860141,-0.103662278698771,-0.0080535090564077,"nearest"
"2298","gdppc.gap.ln_l",9.39146454710798,-0.0689262218329623,0.0274256834754382,-2.51319978569325,0.0119641559239172,-0.122679573696216,-0.015172869969708,"nearest"
"2299","gdppc.gap.ln_l",9.59146454710798,-0.0799187683331453,0.0296563939415334,-2.69482420859065,0.00704257755673995,-0.138044232369882,-0.0217933042964072,"nearest"
"2300","gdppc.gap.ln_l",9.79146454710798,-0.088413514964166,0.0305389118257269,-2.89511019478054,0.00379025451841741,-0.148268682269635,-0.0285583476586974,"nearest"
"2301","gdppc.gap.ln_l",9.99146454710798,-0.0940711320439785,0.0297606831786499,-3.16091977725378,0.00157271807118548,-0.15240099922944,-0.035741264858518,"nearest"
"2302","gdppc.gap.ln_l",10.191464547108,-0.0966850019553833,0.0272547476547943,-3.54745540776914,0.000388971591487991,-0.150103325766509,-0.04326667814426,"nearest"
"2303","gdppc.gap.ln_l",10.391464547108,-0.096226366353038,0.0232628057904793,-4.1364901216009,3.52658529452794e-05,-0.141820627881726,-0.0506321048243477,"nearest"
"2304","gdppc.gap.ln_l",10.591464547108,-0.0928715182613959,0.0183662403382449,-5.05664287034322,4.26701229037294e-07,-0.128868687855763,-0.05687434866703,"nearest"
"2305","gdppc.gap.ln_l",10.791464547108,-0.0870000743966013,0.0136385624126521,-6.37897688658844,1.78274937527813e-10,-0.1137311655263,-0.0602689832669008,"nearest"
"2306","gdppc.gap.ln_l",10.991464547108,-0.0791599416818792,0.0108430028323377,-7.30055528951779,2.86582496335215e-13,-0.100411836717527,-0.057908046646232,"nearest"
"2307","gdppc.gap.ln_l",11.191464547108,-0.0700038033138033,0.0113273738941312,-6.18005585125718,6.40789278551839e-10,-0.0922050481857194,-0.0478025584418866,"nearest"
