"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"2253","gdppc.gap.ln_l",6.39146454710798,0.138077493547515,0.0197266750647298,6.99953200904038,2.56818904042352e-12,0.0994139208859187,0.176741066209108,"optimal"
"2254","gdppc.gap.ln_l",6.59146454710798,0.143071833795084,0.0266694696925785,5.36462987244539,8.11153786506406e-08,0.0908006337108501,0.195343033879323,"optimal"
"2255","gdppc.gap.ln_l",6.79146454710798,0.143838699070834,0.0327143528300779,4.39680710842572,1.09854888332645e-05,0.0797197457463423,0.20795765239532,"optimal"
"2256","gdppc.gap.ln_l",6.99146454710798,0.140308217519204,0.0368250007073745,3.81013482210486,0.000138891028515847,0.0681325424020886,0.212483892636321,"optimal"
"2257","gdppc.gap.ln_l",7.19146454710798,0.132730525905073,0.0386441476410733,3.4346863369293,0.000593240056446872,0.0569893883153222,0.208471663494826,"optimal"
"2258","gdppc.gap.ln_l",7.39146454710798,0.121590448674111,0.0382584486412086,3.17813327493745,0.0014822659893272,0.0466052672329679,0.196575630115256,"optimal"
"2259","gdppc.gap.ln_l",7.59146454710798,0.107502050768114,0.0360290102897592,2.98376363667893,0.00284726627944491,0.0368864882015635,0.178117613334665,"optimal"
"2260","gdppc.gap.ln_l",7.79146454710798,0.0911101852208811,0.0324827376044341,2.80488012834374,0.00503352956176867,0.0274451893969271,0.154775181044838,"optimal"
"2261","gdppc.gap.ln_l",7.99146454710798,0.0730168466206289,0.0282295305579261,2.58654129833298,0.00969445522167821,0.017687983426622,0.128345709814638,"optimal"
"2262","gdppc.gap.ln_l",8.19146454710798,0.0537390425573238,0.0239708442675922,2.24185022260468,0.0249710540754721,0.00675705111382523,0.100721034000824,"optimal"
"2263","gdppc.gap.ln_l",8.39146454710798,0.0336963209453651,0.0205652254022226,1.63850968255,0.101315415890883,-0.00661078017693997,0.0740034220676692,"optimal"
"2264","gdppc.gap.ln_l",8.59146454710798,0.0132215546231132,0.0190128849198511,0.69539970808474,0.486804843440433,-0.0240430150619994,0.0504861243082261,"optimal"
"2265","gdppc.gap.ln_l",8.79146454710798,-0.00741255199407265,0.0199563336203114,-0.371438568581966,0.710310903365919,-0.046526247153349,0.0317011431652035,"optimal"
"2266","gdppc.gap.ln_l",8.99146454710798,-0.0279580356324676,0.0230578858853911,-1.21251513566476,0.225315252343382,-0.073150661527469,0.0172345902625331,"optimal"
"2267","gdppc.gap.ln_l",9.19146454710798,-0.048152985760862,0.0273936624101524,-1.75781482008101,0.0787790228603837,-0.101843577489409,0.00553760596768551,"optimal"
"2268","gdppc.gap.ln_l",9.39146454710798,-0.0676846668940167,0.032106583711107,-2.10812422470852,0.0350202455362305,-0.130612414634407,-0.00475691915362696,"optimal"
"2269","gdppc.gap.ln_l",9.59146454710798,-0.0861598624434936,0.0365158962420948,-2.35951657525443,0.0182987633804828,-0.157729703941202,-0.0145900209457872,"optimal"
"2270","gdppc.gap.ln_l",9.79146454710798,-0.103088908616414,0.0400220538206152,-2.57580255822136,0.0100007734877698,-0.181530692692143,-0.0246471245406843,"optimal"
"2271","gdppc.gap.ln_l",9.99146454710798,-0.117890866074658,0.0420501326577171,-2.80357893360944,0.0050538859676596,-0.200307611628916,-0.035474120520402,"optimal"
"2272","gdppc.gap.ln_l",10.191464547108,-0.12992683241956,0.0420853907636238,-3.08721934291416,0.00202038455713932,-0.212412682591555,-0.0474409822475605,"optimal"
"2273","gdppc.gap.ln_l",10.391464547108,-0.138564946103114,0.0397468466725766,-3.48618714950076,0.000489958101874741,-0.216467334080401,-0.0606625581258296,"optimal"
"2274","gdppc.gap.ln_l",10.591464547108,-0.143273157856541,0.0349316645785643,-4.10152678336605,4.10432988336379e-05,-0.21173796235056,-0.0748083533625213,"optimal"
"2275","gdppc.gap.ln_l",10.791464547108,-0.143725140342722,0.0279918874269335,-5.1345283778339,2.8285241492581e-07,-0.198588231558812,-0.088862049126634,"optimal"
"2276","gdppc.gap.ln_l",10.991464547108,-0.13989431724354,0.0200174654863845,-6.9886128860166,2.77617254054312e-12,-0.179127828658628,-0.100660805828454,"optimal"
"2277","gdppc.gap.ln_l",11.191464547108,-0.132106631351919,0.0137767779998671,-9.58908036067602,8.88736093827109e-22,-0.159108620054661,-0.105104642649175,"optimal"
"2278","gdppc.gap.ln_l",11.391464547108,-0.121029306876568,0.0141634494555005,-8.54518577955353,1.28329666062969e-17,-0.148789157706201,-0.0932694560469319,"optimal"
"2279","gdppc.gap.ln_l",11.591464547108,-0.107590676625077,0.0197950650353534,-5.43522723633001,5.47266432160836e-08,-0.146388291165999,-0.0687930620841575,"optimal"
"2280","gdppc.gap.ln_l",11.791464547108,-0.0928485993977266,0.0256339514999288,-3.62209468165626,0.000292227117019292,-0.143090221119033,-0.0426069776764193,"optimal"
"2281","gdppc.gap.ln_l",5.99146454710798,0.11801722986967,0.0129143793598165,9.13843604725472,6.33619869847544e-20,0.092705511441741,0.143328948297597,"nearest"
"2282","gdppc.gap.ln_l",6.19146454710798,0.127735085489818,0.0157233695964328,8.12390020513143,4.51436991215476e-16,0.0969178473651971,0.158552323614438,"nearest"
"2283","gdppc.gap.ln_l",6.39146454710798,0.134411114129163,0.0224619754403793,5.98394003617045,2.1780352576603e-09,0.090386451244398,0.178435777013931,"nearest"
"2284","gdppc.gap.ln_l",6.59146454710798,0.137510206661507,0.0295475075119386,4.65386823595684,3.25765021457487e-06,0.0795981561051798,0.195422257217833,"nearest"
"2285","gdppc.gap.ln_l",6.79146454710798,0.136783422291948,0.0352882395047894,3.87617586514576,0.000106111002669177,0.067619743784735,0.205947100799156,"nearest"
"2286","gdppc.gap.ln_l",6.99146454710798,0.132271251628345,0.038954805848096,3.39550534904822,0.000685020353250463,0.0559212351413249,0.208621268115362,"nearest"
