"","var","coef","se","model"
"year19941","year1994",-0.479805849052526,0.68639444830508,"imp10.csv"
"year19951","year1995",-0.2068608227162,0.691266488263129,"imp10.csv"
"year19961","year1996",-1.31787636062312,0.15894460927749,"imp10.csv"
"year19971","year1997",0.545944105060602,0.559940700860199,"imp10.csv"
"year19981","year1998",-0.0115334991416987,0.580061564792037,"imp10.csv"
"year19991","year1999",1.12002568644014,0.441898757812377,"imp10.csv"
"year20001","year2000",1.134018006855,0.385791466217373,"imp10.csv"
"year20011","year2001",0.344298597103154,0.550541311655071,"imp10.csv"
"year20021","year2002",0.10709729853713,0.590236446017881,"imp10.csv"
"year20031","year2003",0.404489653175266,0.465095174578922,"imp10.csv"
"year20041","year2004",0.214705116905339,0.50454487972467,"imp10.csv"
"year20051","year2005",1.02181763607795,0.397774929421339,"imp10.csv"
"year20061","year2006",0.463946539443575,0.512177675335918,"imp10.csv"
"year20071","year2007",1.09747188164418,0.384034248709953,"imp10.csv"
"year20081","year2008",0.217393652431797,0.518845812973304,"imp10.csv"
"year20091","year2009",0.982162295628281,0.451186822813586,"imp10.csv"
"year20101","year2010",0.479234700814546,0.489008501006743,"imp10.csv"
"year20111","year2011",1.11431504521417,0.390217979121023,"imp10.csv"
"year20121","year2012",0.681376904370218,0.451228721853347,"imp10.csv"
"year20131","year2013",0.71681678498956,0.417938882691938,"imp10.csv"
"year20141","year2014",0.9795587436143,0.444301781838674,"imp10.csv"
"year20151","year2015",0.991348507653671,0.401227981958215,"imp10.csv"
"year20161","year2016",0.315427661840014,0.509431476824576,"imp10.csv"
"year20171","year2017",1.11402252374939,0.414445893264276,"imp10.csv"
"year20181","year2018",0.180409124394528,0.504684230984245,"imp10.csv"
"year20191","year2019",1.17539508417638,0.374557904186728,"imp10.csv"
"(Intercept)2","(Intercept)",-26.6269598395507,4.25871167384278,"imp11.csv"
"gdppc.gap.ln_l2","gdppc.gap.ln_l",4.39633532553601,0.963046576113318,"imp11.csv"
"I(gdppc.gap.ln_l^2)2","I(gdppc.gap.ln_l^2)",-0.241969476039218,0.0549262832273918,"imp11.csv"
"growth.gap.5_l2","growth.gap.5_l",-0.343810200503263,1.44494066867761,"imp11.csv"
"pop_ln_l2","pop_ln_l",0.258137183838508,0.0413648806819031,"imp11.csv"
